,time,ev_load
290,2017-06-04 00:30:00,-7.4
291,2017-06-04 00:45:00,0.0
292,2017-06-04 01:00:00,0.0
293,2017-06-04 01:15:00,3.7
294,2017-06-04 01:30:00,3.7
295,2017-06-04 01:45:00,0.0
296,2017-06-04 02:00:00,0.0
297,2017-06-04 02:15:00,-7.4
298,2017-06-04 02:30:00,0.0
299,2017-06-04 02:45:00,3.7
300,2017-06-04 03:00:00,0.0
301,2017-06-04 03:15:00,0.0
302,2017-06-04 03:30:00,0.0
303,2017-06-04 03:45:00,0.0
304,2017-06-04 04:00:00,0.0
305,2017-06-04 04:15:00,0.0
306,2017-06-04 04:30:00,0.0
307,2017-06-04 04:45:00,0.0
308,2017-06-04 05:00:00,0.0
309,2017-06-04 05:15:00,0.0
310,2017-06-04 05:30:00,0.0
311,2017-06-04 05:45:00,0.0
312,2017-06-04 06:00:00,0.0
313,2017-06-04 06:15:00,0.0
314,2017-06-04 06:30:00,0.0
315,2017-06-04 06:45:00,0.0
316,2017-06-04 07:00:00,0.0
317,2017-06-04 07:15:00,0.0
318,2017-06-04 07:30:00,0.0
319,2017-06-04 07:45:00,0.0
320,2017-06-04 08:00:00,0.0
321,2017-06-04 08:15:00,0.0
322,2017-06-04 08:30:00,0.0
323,2017-06-04 08:45:00,0.0
324,2017-06-04 09:00:00,0.0
325,2017-06-04 09:15:00,0.0
326,2017-06-04 09:30:00,0.0
327,2017-06-04 09:45:00,0.0
328,2017-06-04 10:00:00,0.0
329,2017-06-04 10:15:00,0.0
330,2017-06-04 10:30:00,0.0
331,2017-06-04 10:45:00,0.0
332,2017-06-04 11:00:00,0.0
333,2017-06-04 11:15:00,0.0
334,2017-06-04 11:30:00,0.0
335,2017-06-04 11:45:00,0.0
336,2017-06-04 12:00:00,0.0
337,2017-06-04 12:15:00,0.0
338,2017-06-04 12:30:00,0.0
339,2017-06-04 12:45:00,0.0
340,2017-06-04 13:00:00,0.0
341,2017-06-04 13:15:00,0.0
342,2017-06-04 13:30:00,0.0
343,2017-06-04 13:45:00,0.0
344,2017-06-04 14:00:00,0.0
345,2017-06-04 14:15:00,0.0
346,2017-06-04 14:30:00,0.0
347,2017-06-04 14:45:00,0.0
348,2017-06-04 15:00:00,0.0
349,2017-06-04 15:15:00,7.4
350,2017-06-04 15:30:00,7.4
351,2017-06-04 15:45:00,7.4
352,2017-06-04 16:00:00,7.4
353,2017-06-04 16:15:00,7.4
354,2017-06-04 16:30:00,3.7
355,2017-06-04 16:45:00,0.0
356,2017-06-04 17:00:00,-3.7
357,2017-06-04 17:15:00,7.4
358,2017-06-04 17:30:00,-11.0
359,2017-06-04 17:45:00,-7.4
360,2017-06-04 18:00:00,11.0
361,2017-06-04 18:15:00,-3.7
362,2017-06-04 18:30:00,-7.4
363,2017-06-04 18:45:00,0.0
364,2017-06-04 19:00:00,3.7
365,2017-06-04 19:15:00,-3.7
366,2017-06-04 19:30:00,-7.4
367,2017-06-04 19:45:00,0.0
368,2017-06-04 20:00:00,7.4
369,2017-06-04 20:15:00,11.0
370,2017-06-04 20:30:00,0.0
371,2017-06-04 20:45:00,0.0
372,2017-06-04 21:00:00,7.4
373,2017-06-04 21:15:00,0.0
