,time,Available_energy_sources
210,2017-01-09 18:00:00,"[{'vehicle_id': 26, 'energy': 62.13959614269035}, {'vehicle_id': 27, 'energy': 54.40813946552814}, {'vehicle_id': 28, 'energy': 48.43920418852705}, {'vehicle_id': 29, 'energy': 57.75542516362899}, {'vehicle_id': 30, 'energy': 51.46693461271821}]"
211,2017-01-09 19:00:00,"[{'vehicle_id': 27, 'energy': 58.10813946552814}, {'vehicle_id': 28, 'energy': 52.139204188527046}, {'vehicle_id': 29, 'energy': 61.45542516362899}, {'vehicle_id': 30, 'energy': 55.16693461271821}]"
212,2017-01-09 20:00:00,"[{'vehicle_id': 27, 'energy': 61.80813946552814}, {'vehicle_id': 28, 'energy': 55.83920418852705}, {'vehicle_id': 29, 'energy': 65.15542516362899}, {'vehicle_id': 30, 'energy': 58.86693461271821}]"
213,2017-01-09 21:00:00,"[{'vehicle_id': 27, 'energy': 65.50813946552815}, {'vehicle_id': 28, 'energy': 59.53920418852705}, {'vehicle_id': 29, 'energy': 68.855425163629}, {'vehicle_id': 30, 'energy': 62.566934612718214}]"
214,2017-01-09 22:00:00,"[{'vehicle_id': 27, 'energy': 69.20813946552815}, {'vehicle_id': 28, 'energy': 63.239204188527054}, {'vehicle_id': 29, 'energy': 72.555425163629}, {'vehicle_id': 30, 'energy': 66.26693461271822}]"
215,2017-01-09 23:00:00,"[{'vehicle_id': 27, 'energy': 72.90813946552814}, {'vehicle_id': 28, 'energy': 66.93920418852704}, {'vehicle_id': 29, 'energy': 76.25542516362898}, {'vehicle_id': 30, 'energy': 69.9669346127182}]"
216,2017-01-10 00:00:00,"[{'vehicle_id': 27, 'energy': 76.60813946552814}, {'vehicle_id': 28, 'energy': 70.63920418852706}, {'vehicle_id': 29, 'energy': 79.955425163629}, {'vehicle_id': 30, 'energy': 73.66693461271821}]"
217,2017-01-10 01:00:00,"[{'vehicle_id': 27, 'energy': 80.30813946552814}, {'vehicle_id': 28, 'energy': 74.33920418852705}, {'vehicle_id': 29, 'energy': 83.65542516362899}, {'vehicle_id': 30, 'energy': 77.36693461271821}]"
218,2017-01-10 02:00:00,"[{'vehicle_id': 29, 'energy': 87.355425163629}, {'vehicle_id': 30, 'energy': 81.06693461271821}]"
219,2017-01-10 03:00:00,"[{'vehicle_id': 29, 'energy': 91.055425163629}, {'vehicle_id': 30, 'energy': 84.76693461271822}]"
220,2017-01-10 04:00:00,"[{'vehicle_id': 29, 'energy': 94.75542516362898}, {'vehicle_id': 30, 'energy': 88.4669346127182}]"
