,time,Available_energy_sources
173,2017-06-02 19:15:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 78.08103081419492}, {'vehicle_id': 6, 'energy': 71.29590281855045}, {'vehicle_id': 7, 'energy': 56.16287161206709}, {'vehicle_id': 8, 'energy': 57.64876003126475}]"
174,2017-06-02 19:30:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 79.0060308141949}, {'vehicle_id': 6, 'energy': 72.22090281855046}, {'vehicle_id': 7, 'energy': 57.08787161206709}, {'vehicle_id': 8, 'energy': 58.573760031264754}]"
175,2017-06-02 19:45:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 79.93103081419491}, {'vehicle_id': 6, 'energy': 73.14590281855045}, {'vehicle_id': 7, 'energy': 58.01287161206709}, {'vehicle_id': 8, 'energy': 59.49876003126475}]"
176,2017-06-02 20:00:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 80.85603081419491}, {'vehicle_id': 6, 'energy': 74.07090281855045}, {'vehicle_id': 7, 'energy': 58.937871612067084}, {'vehicle_id': 8, 'energy': 60.42376003126475}]"
177,2017-06-02 20:15:00,"[{'vehicle_id': 5, 'energy': 81.7810308141949}, {'vehicle_id': 6, 'energy': 74.99590281855046}, {'vehicle_id': 7, 'energy': 59.86287161206709}, {'vehicle_id': 8, 'energy': 61.34876003126475}]"
178,2017-06-02 20:30:00,"[{'vehicle_id': 5, 'energy': 82.70603081419492}, {'vehicle_id': 6, 'energy': 75.92090281855045}, {'vehicle_id': 7, 'energy': 60.78787161206709}, {'vehicle_id': 8, 'energy': 62.27376003126476}]"
179,2017-06-02 20:45:00,"[{'vehicle_id': 5, 'energy': 83.6310308141949}, {'vehicle_id': 6, 'energy': 76.84590281855046}, {'vehicle_id': 7, 'energy': 61.71287161206709}, {'vehicle_id': 8, 'energy': 63.198760031264754}]"
180,2017-06-02 21:00:00,"[{'vehicle_id': 5, 'energy': 84.55603081419491}, {'vehicle_id': 6, 'energy': 77.77090281855045}, {'vehicle_id': 7, 'energy': 62.63787161206709}, {'vehicle_id': 8, 'energy': 64.12376003126475}]"
181,2017-06-02 21:15:00,"[{'vehicle_id': 5, 'energy': 85.48103081419491}, {'vehicle_id': 6, 'energy': 78.69590281855045}, {'vehicle_id': 7, 'energy': 63.562871612067084}, {'vehicle_id': 8, 'energy': 65.04876003126475}]"
182,2017-06-02 21:30:00,"[{'vehicle_id': 5, 'energy': 86.4060308141949}, {'vehicle_id': 6, 'energy': 79.62090281855046}, {'vehicle_id': 7, 'energy': 64.4878716120671}, {'vehicle_id': 8, 'energy': 65.97376003126476}]"
183,2017-06-02 21:45:00,"[{'vehicle_id': 5, 'energy': 87.33103081419492}, {'vehicle_id': 6, 'energy': 80.54590281855045}, {'vehicle_id': 7, 'energy': 65.4128716120671}, {'vehicle_id': 8, 'energy': 66.89876003126476}]"
184,2017-06-02 22:00:00,"[{'vehicle_id': 5, 'energy': 88.2560308141949}, {'vehicle_id': 6, 'energy': 81.47090281855046}, {'vehicle_id': 7, 'energy': 66.33787161206709}, {'vehicle_id': 8, 'energy': 67.82376003126475}]"
185,2017-06-02 22:15:00,"[{'vehicle_id': 5, 'energy': 89.18103081419491}, {'vehicle_id': 6, 'energy': 82.39590281855045}, {'vehicle_id': 7, 'energy': 67.26287161206709}, {'vehicle_id': 8, 'energy': 68.74876003126475}]"
186,2017-06-02 22:30:00,"[{'vehicle_id': 5, 'energy': 90.10603081419491}, {'vehicle_id': 6, 'energy': 83.32090281855045}, {'vehicle_id': 7, 'energy': 68.18787161206708}, {'vehicle_id': 8, 'energy': 69.67376003126475}]"
187,2017-06-02 22:45:00,"[{'vehicle_id': 5, 'energy': 91.0310308141949}, {'vehicle_id': 6, 'energy': 84.24590281855046}, {'vehicle_id': 7, 'energy': 69.1128716120671}, {'vehicle_id': 8, 'energy': 70.59876003126476}]"
